Sample_Code,Household,Sample_Type,Site,GenBac,HF183,Rum2Bac,Pig2Bac,DG37,GFD,Log10_GenBac,Log10_HF183,Log10_Rum2Bac,Log10_Pig2Bac,Log10_DG37,Log10_GFD
1001CWHM,1001,Adult hands (n=59),Urban,2.48E+05,BDL,BDL,BDL,BDL,BDL,5.39,BDL,BDL,BDL,BDL,BDL
1002CWHM,1002,Adult hands (n=59),Urban,5.42E+05,1.79E+03,BDL,BDL,1.32E+02,BDL,5.73,3.25,BDL,BDL,2.12,BDL
1006CWHM,1006,Adult hands (n=59),Urban,3.78E+04,BDL,BDL,BDL,BDL,BDL,4.58,BDL,BDL,BDL,BDL,BDL
1007CWHM,1007,Adult hands (n=59),Urban,2.65E+05,DNQ,BDL,BDL,BDL,BDL,5.42,DNQ,BDL,BDL,BDL,BDL
1010CWHM,1010,Adult hands (n=59),Urban,1.47E+06,1.15E+03,BDL,BDL,3.05E+02,BDL,6.17,3.06,BDL,BDL,2.48,BDL
1011CWHM,1011,Adult hands (n=59),Urban,4.69E+05,BDL,BDL,BDL,BDL,BDL,5.67,BDL,BDL,BDL,BDL,BDL
1012CWHM,1012,Adult hands (n=59),Urban,2.78E+05,4.88E+03,BDL,BDL,1.49E+02,BDL,5.44,3.69,BDL,BDL,2.18,BDL
1013CWHM,1013,Adult hands (n=59),Urban,3.21E+05,6.73E+02,BDL,BDL,BDL,BDL,5.51,2.83,BDL,BDL,BDL,BDL
1015CWHM,1015,Adult hands (n=59),Urban,8.14E+04,4.69E+02,BDL,BDL,BDL,BDL,4.91,2.67,BDL,BDL,BDL,BDL
1017CWHM,1017,Adult hands (n=59),Urban,2.08E+05,7.86E+02,BDL,BDL,BDL,BDL,5.32,2.9,BDL,BDL,BDL,BDL
1019CWHM,1019,Adult hands (n=59),Urban,4.86E+04,BDL,BDL,BDL,BDL,BDL,4.69,BDL,BDL,BDL,BDL,BDL
1020CNHM,1020,Adult hands (n=59),Urban,6.07E+04,4.24E+02,BDL,BDL,BDL,BDL,4.78,2.63,BDL,BDL,BDL,BDL
1021CNHM,1021,Adult hands (n=59),Urban,3.31E+05,1.19E+03,BDL,BDL,BDL,1.28E+03,5.52,3.08,BDL,BDL,BDL,3.11
1022CNHM,1022,Adult hands (n=59),Urban,2.48E+06,DNQ,BDL,BDL,BDL,BDL,6.4,DNQ,BDL,BDL,BDL,BDL
1023CNHM,1023,Adult hands (n=59),Urban,5.69E+04,DNQ,BDL,BDL,BDL,BDL,4.76,DNQ,BDL,BDL,BDL,BDL
2001CWHM,2001,Adult hands (n=59),Semi-rural,1.44E+05,9.74E+02,BDL,BDL,BDL,BDL,5.16,2.99,BDL,BDL,BDL,BDL
2004CWHM,2004,Adult hands (n=59),Semi-rural,1.94E+05,DNQ,BDL,BDL,BDL,BDL,5.29,DNQ,BDL,BDL,BDL,BDL
2007CWHM,2007,Adult hands (n=59),Semi-rural,6.21E+04,BDL,BDL,BDL,BDL,BDL,4.79,BDL,BDL,BDL,BDL,BDL
2008CWHM,2008,Adult hands (n=59),Semi-rural,1.75E+06,5.69E+04,BDL,BDL,BDL,BDL,6.24,4.76,BDL,BDL,BDL,BDL
2012CWHM,2012,Adult hands (n=59),Semi-rural,1.58E+05,4.50E+03,BDL,BDL,BDL,BDL,5.2,3.65,BDL,BDL,BDL,BDL
2013CWHM,2013,Adult hands (n=59),Semi-rural,4.70E+05,BDL,BDL,BDL,DNQ,BDL,5.67,BDL,BDL,BDL,DNQ,BDL
2015CWHM,2015,Adult hands (n=59),Semi-rural,8.74E+04,BDL,BDL,BDL,BDL,BDL,4.94,BDL,BDL,BDL,BDL,BDL
2016CWHM,2016,Adult hands (n=59),Semi-rural,1.18E+05,BDL,BDL,BDL,BDL,BDL,5.07,BDL,BDL,BDL,BDL,BDL
2018CWHM,2018,Adult hands (n=59),Semi-rural,3.18E+06,3.73E+03,BDL,BDL,BDL,BDL,6.5,3.57,BDL,BDL,BDL,BDL
2021CNHM,2021,Adult hands (n=59),Semi-rural,3.21E+05,BDL,BDL,BDL,BDL,BDL,5.51,BDL,BDL,BDL,BDL,BDL
2022CNHM,2022,Adult hands (n=59),Semi-rural,9.13E+04,BDL,4.32E+02,DNQ,BDL,BDL,4.96,BDL,2.64,DNQ,BDL,BDL
2023CNHM,2023,Adult hands (n=59),Semi-rural,3.18E+04,DNQ,BDL,BDL,BDL,BDL,4.5,DNQ,BDL,BDL,BDL,BDL
